regime,method,coverage_mean,coverage_std,width_mean,width_std,width_ratio_mean,width_ratio_std,cov_range_mean,cov_range_std,worst_cov_mean,worst_cov_std,cov_gap_mean,cov_gap_std,target_coverage,coverage_abs_gap_mean
A1,Global,0.9056200000000001,0.008045122746111447,3.3724430561065675,0.06336378266625012,1.025149895842752,0.019261226568774898,0.04369999999999999,0.013106826041757351,0.8819000000000001,0.01349444330085536,0.01525999999999999,0.003767757954009253,0.9,0.005620000000000069
A1,Local,0.9036799999999999,0.0065293865629849806,3.3541384613666674,0.059523902188881636,1.0195856963829473,0.01809398149888916,0.0395,0.011520513105856969,0.8832000000000001,0.012488216668346055,0.0132,0.004153713198252057,0.9,0.0036799999999999056
B1,Global,0.9017799999999999,0.004283767811946281,3.337879252433777,0.0693531449132789,1.2900124868364338,0.02619891695957058,0.053599999999999995,0.01718009183780911,0.8721,0.01079557522526914,0.01661999999999999,0.005613040372402651,0.9,0.0017799999999998928
B1,Local,0.9083399999999999,0.003276922675655025,3.357048488866954,0.09355896992710966,1.1910822011109257,0.03526755671502788,0.0386,0.016581113754308947,0.8881,0.012178761111961362,0.01454,0.004586017395906339,0.9,0.008339999999999903
B2,Global,0.90398,0.006671631484627019,3.996667575836182,0.08207878291213075,1.0250624536993196,0.01726136434197409,0.04689999999999999,0.010867382389517713,0.8817999999999999,0.008791409948858539,0.01485999999999999,0.003209776731591568,0.9,0.0039799999999999836
B2,Local,0.9038,0.006379829325477493,4.04319753662857,0.09678287831519282,1.0213941463923064,0.016982424274247326,0.034699999999999995,0.012605554331325534,0.8861000000000001,0.012844800071970343,0.01236,0.003948332981567453,0.9,0.0038000000000000256
B3,Global,0.90404,0.006788094152427618,3.337079167366028,0.056058265740002965,1.0538724248828446,0.025621120862976906,0.05319999999999998,0.01652472894381828,0.8775000000000001,0.01284306989953901,0.01663999999999999,0.004802591892810477,0.9,0.0040399999999999325
B3,Local,0.9041600000000001,0.00636364675323826,3.380741282496671,0.06615701083569438,1.0405785293054102,0.02633242836505489,0.0383,0.011363195951061576,0.884,0.013490737563232066,0.01316,0.0031479093591355732,0.9,0.0041600000000000525
B4,Global,0.9041,0.006380700066084693,1.4207112550735475,0.028359537954915182,1.061863718763376,0.05343079623621038,0.060499999999999984,0.03451006294466069,0.8722,0.020584784024452022,0.02042,0.009719373550914803,0.9,0.0040999999999999925
B4,Local,0.90384,0.005978331242449259,1.4389449894699835,0.04886482416447667,1.048680559837403,0.049953364941635076,0.038900000000000004,0.014153523314787109,0.8839,0.014051097228805067,0.013440000000000002,0.003329063932499145,0.9,0.0038399999999999546
