Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
diabetes,442,10,Global CQR,RELU,Overall,,,90%,0.9203007518796993,0.027151082834989158,2.766993999481201,0.22440014843372877,210.83568372309423,2.7277408599853517,0.48834103643894194,0.8494301994301994,0.05193885346865872,0.9814814814814815,0.13205128205128208,
diabetes,442,10,Global CQR,RELU,Bin 1,4,1,90%,0.8851851851851851,0.06717910054524837,2.682148504257202,,,,,,,,,27.0
diabetes,442,10,Global CQR,RELU,Bin 2,2,2,90%,0.9,0.05250906251391787,2.8760555744171143,,,,,,,,,27.0
diabetes,442,10,Global CQR,RELU,Bin 3,3,3,90%,0.9192307692307693,0.05820286904008292,2.8149508476257323,,,,,,,,,26.0
diabetes,442,10,Global CQR,RELU,Bin 4,1,4,90%,0.9230769230769231,0.03440104580768909,2.8488850831985473,,,,,,,,,26.0
diabetes,442,10,Global CQR,RELU,Bin 5,0,5,90%,0.9740740740740741,0.028926850651506134,2.6177390575408936,,,,,,,,,27.0
diabetes,442,10,Localized CQR,RELU,Overall,,,90%,0.8360902255639097,0.029467545777842732,2.3997916287642784,0.14918786490198352,182.80880356623,2.3936736047267915,0.9623104372822112,0.7310541310541311,0.07166757130855222,0.9284900284900285,0.19743589743589746,
diabetes,442,10,Localized CQR,RELU,Bin 1,4,1,90%,0.7444444444444445,0.08518518518518517,2.210433700193208,,,,,,,,,27.0
diabetes,442,10,Localized CQR,RELU,Bin 2,3,2,90%,0.8346153846153845,0.08258042520609188,2.4364623888329477,,,,,,,,,26.0
diabetes,442,10,Localized CQR,RELU,Bin 3,2,3,90%,0.8444444444444444,0.04913518207933924,2.6610132916515368,,,,,,,,,27.0
diabetes,442,10,Localized CQR,RELU,Bin 4,0,4,90%,0.874074074074074,0.041242698983926095,2.0034348639947206,,,,,,,,,27.0
diabetes,442,10,Localized CQR,RELU,Bin 5,1,5,90%,0.8846153846153847,0.054392829322042126,2.7000944003202623,,,,,,,,,26.0
energy,768,8,Global CQR,RELU,Overall,,,90%,0.9025974025974026,0.025260769629255688,0.46697146594524386,0.04605236753283227,4.702706410301469,0.36056639552116393,0.2907464802265167,0.7869565217391304,0.04326032335246174,0.9849213691026828,0.19796484736355227,
energy,768,8,Global CQR,RELU,Bin 1,1,1,90%,0.8413043478260871,0.0790120949799402,0.6197905093431473,,,,,,,,,46.0
energy,768,8,Global CQR,RELU,Bin 2,2,2,90%,0.8869565217391303,0.06360321234055562,0.5309029132127762,,,,,,,,,46.0
energy,768,8,Global CQR,RELU,Bin 3,0,3,90%,0.917391304347826,0.056521739130434796,0.40945913791656496,,,,,,,,,46.0
energy,768,8,Global CQR,RELU,Bin 4,3,4,90%,0.932608695652174,0.09398246226616212,0.3646600261330605,,,,,,,,,46.0
energy,768,8,Global CQR,RELU,Bin 5,4,5,90%,0.9340425531914894,0.06825112737168272,0.4112559765577316,,,,,,,,,47.0
energy,768,8,Localized CQR,RELU,Overall,,,90%,0.8961038961038961,0.0201193940062723,0.4526262752280381,0.048550980882955584,4.5564526354996975,0.31920450925827026,0.38034384266643845,0.8200277520814062,0.05209112007115691,0.9567067530064757,0.1366790009250694,
energy,768,8,Localized CQR,RELU,Bin 1,2,1,90%,0.8739130434782609,0.06997163886709167,0.5214498381008921,,,,,,,,,46.0
energy,768,8,Localized CQR,RELU,Bin 2,4,2,90%,0.8765957446808512,0.052807121897833424,0.3597243874987706,,,,,,,,,47.0
