Dataset,n,d,Method,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
california_housing,20640,8,Global CQR,Overall,,,90%,0.9044250645994831,0.006642605006317594,4.172614002227784,7.181435134736833,4.81566951434119,1.3173678636550903,163.65284111499787,0.8832661834482705,0.01399156415474987,0.9211158355075554,0.037849652059284845,
california_housing,20640,8,Global CQR,Bin 1,4,1,90%,0.8986279257465697,0.022437449556093638,15.007934653759003,,,,,,,,,1239.0
california_housing,20640,8,Global CQR,Bin 2,0,2,90%,0.9031476997578693,0.014670628271188682,1.6028876662254334,,,,,,,,,1239.0
california_housing,20640,8,Global CQR,Bin 3,1,3,90%,0.9050080775444265,0.011949306704508784,1.3874929547309875,,,,,,,,,1238.0
california_housing,20640,8,Global CQR,Bin 4,3,4,90%,0.9067043618739904,0.016602252418796246,1.3530853390693665,,,,,,,,,1238.0
california_housing,20640,8,Global CQR,Bin 5,2,5,90%,0.9086429725363491,0.008475265093774616,1.5049920082092285,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,Overall,,,90%,0.8936046511627908,0.006438028054929835,4.147454753268785,7.181906239370117,4.786677842053572,1.295098846592009,163.67412264393712,0.8767272841066001,0.0112196969322302,0.9077685245670788,0.03104124046047868,
california_housing,20640,8,Localized CQR,Bin 1,4,1,90%,0.880225988700565,0.01520354902643384,14.9699932695131,,,,,,,,,1239.0
california_housing,20640,8,Localized CQR,Bin 2,3,2,90%,0.8932148626817448,0.014394356415404427,1.3175722476378193,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,Bin 3,2,3,90%,0.8977382875605816,0.006798586563005094,1.4703102665628165,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,Bin 4,1,4,90%,0.8978190630048465,0.008828205467284782,1.3752936488215288,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,Bin 5,0,5,90%,0.8990314769975786,0.010569345477295279,1.5974221803810742,,,,,,,,,1239.0
concrete,1030,8,Global CQR,Overall,,,90%,0.8990291262135923,0.015026778985429003,1.8279717087745666,0.12752927631660052,30.513840258943418,1.727972149848938,0.7217197418212891,0.8349550502379692,0.031348589204629754,0.9483342147012163,0.11337916446324696,
concrete,1030,8,Global CQR,Bin 1,1,1,90%,0.8661290322580644,0.04390534706069741,1.8118472218513488,,,,,,,,,62.0
concrete,1030,8,Global CQR,Bin 2,2,2,90%,0.8967213114754097,0.040852248506154466,1.7989120602607727,,,,,,,,,61.0
concrete,1030,8,Global CQR,Bin 3,0,3,90%,0.8999999999999998,0.05290715957050557,1.8652071833610535,,,,,,,,,62.0
concrete,1030,8,Global CQR,Bin 4,3,4,90%,0.914516129032258,0.03537372935396985,1.7747238636016847,,,,,,,,,62.0
concrete,1030,8,Global CQR,Bin 5,4,5,90%,0.917741935483871,0.04809048876088895,1.8886995315551758,,,,,,,,,62.0
concrete,1030,8,Localized CQR,Overall,,,90%,0.8650485436893204,0.019093851132686093,1.671540671731059,0.1151515923954839,27.90219769599521,1.588434562832117,0.7533201953020392,0.810364886303543,0.025207281700690923,0.9172924378635644,0.10692755156002112,
concrete,1030,8,Localized CQR,Bin 1,1,1,90%,0.8419354838709676,0.04934535013154308,1.6941336619607625,,,,,,,,,62.0
concrete,1030,8,Localized CQR,Bin 2,2,2,90%,0.8590163934426229,0.04648343238936992,1.626912622153759,,,,,,,,,61.0
concrete,1030,8,Localized CQR,Bin 3,3,3,90%,0.8612903225806452,0.03398597984791205,1.5255281946832133,,,,,,,,,62.0
concrete,1030,8,Localized CQR,Bin 4,4,4,90%,0.8741935483870968,0.031275353918814995,1.7071759674818285,,,,,,,,,62.0
concrete,1030,8,Localized CQR,Bin 5,0,5,90%,0.8887096774193548,0.042336789510989306,1.803233105124485,,,,,,,,,62.0
bio,45730,9,Global CQR,Overall,,,90%,0.9009548800933012,0.004210183058742586,2.145273971557617,0.03565795916200698,13.123897582041405,2.2976219415664674,0.6624410927295685,0.8729186484760041,0.0184183872780541,0.9243319996088639,0.05141335113285979,
bio,45730,9,Global CQR,Bin 1,4,1,90%,0.8933673469387756,0.029869690385511845,1.9592910647392272,,,,,,,,,2744.0
bio,45730,9,Global CQR,Bin 2,0,2,90%,0.9009811749813201,0.026097635199988558,2.0723291873931884,,,,,,,,,2743.9
bio,45730,9,Global CQR,Bin 3,3,3,90%,0.9009839650145773,0.01375896587771613,2.1352478146553038,,,,,,,,,2744.0
