Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
rf1,4017,64,Global CQR,RELU,Overall,,,90%,0.8997512437810945,0.009694402875056018,0.25378826409578326,0.010577065288946886,8.541130468006191,0.2173152446746826,0.1459751158952713,0.8446675354068791,0.03564796240331677,0.9440399849113541,0.09937244950447517,
rf1,4017,64,Global CQR,RELU,Bin 1,4,1,90%,0.8818181818181818,0.04952475460025996,0.2813237965106964,,,,,,,,,242.0
rf1,4017,64,Global CQR,RELU,Bin 2,3,2,90%,0.9008298755186722,0.048795339694227675,0.1808688074350357,,,,,,,,,241.0
rf1,4017,64,Global CQR,RELU,Bin 3,2,3,90%,0.9008298755186722,0.026791615696859634,0.21411716639995576,,,,,,,,,241.0
rf1,4017,64,Global CQR,RELU,Bin 4,0,4,90%,0.9053941908713693,0.03435724737673768,0.27012053281068804,,,,,,,,,241.0
rf1,4017,64,Global CQR,RELU,Bin 5,1,5,90%,0.9099585062240665,0.03077540521292724,0.3223967343568802,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Overall,,,90%,0.902653399668325,0.009826482896866015,0.24983526410708343,0.012638704021218068,8.407789586338998,0.21293050218373538,0.14435361221873055,0.8698175645553994,0.021334860021133363,0.9311786289907754,0.061361064435376,
rf1,4017,64,Localized CQR,RELU,Bin 1,0,1,90%,0.895850622406639,0.024297785845572364,0.2628227430925206,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Bin 2,2,2,90%,0.8995850622406639,0.021059879735185916,0.21094998774704182,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Bin 3,3,3,90%,0.9020746887966805,0.038844911994916,0.1750977184519141,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Bin 4,4,4,90%,0.9057851239669421,0.02200582967883364,0.2817586242536868,,,,,,,,,242.0
rf1,4017,64,Localized CQR,RELU,Bin 5,1,5,90%,0.9099585062240665,0.01461735680813987,0.3184147849149569,,,,,,,,,241.0
