Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
california_housing,20640,8,Global CQR,RELU,Overall,,,90%,0.9022609819121448,0.0049159315390195175,1.288900363445282,0.026160804679602762,1.4857189012412277,1.178971779346466,0.6057668328285217,0.8743676501843037,0.015450388804755433,0.9239271338994784,0.049559483715174955,
california_housing,20640,8,Global CQR,RELU,Bin 1,0,1,90%,0.8951573849878935,0.02690073971077166,1.4161885976791382,,,,,,,,,1239.0
california_housing,20640,8,Global CQR,RELU,Bin 2,4,2,90%,0.8996771589991928,0.016972388853300196,1.175464504957199,,,,,,,,,1239.0
california_housing,20640,8,Global CQR,RELU,Bin 3,2,3,90%,0.9010500807754441,0.010850701055204246,1.3297095775604248,,,,,,,,,1238.0
california_housing,20640,8,Global CQR,RELU,Bin 4,1,4,90%,0.9061389337641357,0.017596444334979113,1.2752411484718322,,,,,,,,,1238.0
california_housing,20640,8,Global CQR,RELU,Bin 5,3,5,90%,0.9092891760904684,0.01758624451815191,1.2478867053985596,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,RELU,Overall,,,90%,0.8834948320413437,0.0035177073074621743,1.2339099915482488,0.019984210781528816,1.4223447454299247,1.1268721479922532,0.6658215084323788,0.8641226639337315,0.007084879457869155,0.9021165904548069,0.03799392652107527,
california_housing,20640,8,Localized CQR,RELU,Bin 1,0,1,90%,0.8774818401937047,0.015545054001618716,1.3716381721424058,,,,,,,,,1239.0
california_housing,20640,8,Localized CQR,RELU,Bin 2,4,2,90%,0.8778853914447134,0.012802436856057508,1.1267883853871101,,,,,,,,,1239.0
california_housing,20640,8,Localized CQR,RELU,Bin 3,2,3,90%,0.8837641357027465,0.011247527421166914,1.265065651535777,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,RELU,Bin 4,3,4,90%,0.8886914378029077,0.015707864633191262,1.180558684515964,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,RELU,Bin 5,1,5,90%,0.8896607431340872,0.01189457843890144,1.2254743415635134,,,,,,,,,1238.0
concrete,1030,8,Global CQR,RELU,Overall,,,90%,0.9045307443365698,0.015738273677395245,1.1616835355758668,0.059793742797927124,19.401385676522516,1.12157883644104,0.3020175486803055,0.8414066631411952,0.03299176023449665,0.9612903225806452,0.11988365943945004,
concrete,1030,8,Global CQR,RELU,Bin 1,2,1,90%,0.8967213114754097,0.05186653121166025,1.1828351259231566,,,,,,,,,61.0
