Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean),Winkler Score (mean),Winkler Score (std),Width-Error Corr (mean),Width-Error Corr (std),CCV (mean),CCV (std)
diabetes,442,10,Global CQR,RELU,Overall,,,90%,0.9849624060150376,0.0,3.1461939811706543,0.0,247.7916753200303,3.095642566680908,0.7143008708953857,0.9259259259259259,0.0,1.0,0.07407407407407407,,3.2459728717803955,0.0,0.027308909222483635,0.0,0.008134430727023315,0.0
diabetes,442,10,Global CQR,RELU,Bin 1,2,1,90%,0.9259259259259259,0.0,2.65138578414917,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 2,0,2,90%,1.0,0.0,3.3472607135772705,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 3,1,3,90%,1.0,0.0,2.8457510471343994,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 4,3,4,90%,1.0,0.0,3.0151288509368896,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 5,4,5,90%,1.0,0.0,3.855461597442627,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Overall,,,90%,0.7819548872180451,0.0,2.329685031247318,0.0,183.4840954866914,2.2759432792663574,1.1699506184584696,0.7407407407407407,0.0,0.8518518518518519,0.11111111111111116,,3.8252790818985245,0.0,0.036437632990987345,0.0,0.015364242173358984,0.0
diabetes,442,10,Local CQR (Silverman),RELU,Bin 1,0,1,90%,0.7407407407407407,0.0,1.6422518844957705,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 2,1,2,90%,0.7692307692307693,0.0,2.5076061957157574,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 3,3,3,90%,0.7692307692307693,0.0,2.325979920533987,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 4,2,4,90%,0.7777777777777778,0.0,2.2863400843408375,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 5,4,5,90%,0.8518518518518519,0.0,2.892699517585613,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Overall,,,90%,0.7819548872180451,0.0,2.2842598178781066,0.0,179.90644268146337,2.168749302625656,1.1593515485097916,0.7407407407407407,0.0,0.8148148148148148,0.07407407407407407,,3.839654527436522,0.0,0.030218924705203563,0.0,0.014815545328365848,0.0
diabetes,442,10,Local CQR (Scott),RELU,Bin 1,0,1,90%,0.7407407407407407,0.0,1.6422518844957705,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 2,1,2,90%,0.7692307692307693,0.0,2.5076061957157574,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 3,3,3,90%,0.7692307692307693,0.0,2.2242062091827393,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 4,2,4,90%,0.8148148148148148,0.0,2.3379301208036916,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 5,4,5,90%,0.8148148148148148,0.0,2.7153525595311767,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Overall,,,90%,0.8872180451127819,0.0,2.7265249555720423,0.0,214.73888469257147,2.7825690507888794,1.0761544101259117,0.8461538461538461,0.0,0.9629629629629629,0.11680911680911676,,3.527256541010132,0.0,0.0768551844164548,0.0,0.0019084260679702273,0.0
diabetes,442,10,Local CQR (ISJ),RELU,Bin 1,1,1,90%,0.8461538461538461,0.0,2.4823687913326116,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 2,0,2,90%,0.8518518518518519,0.0,2.4555949657051652,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 3,3,3,90%,0.8846153846153846,0.0,2.7175080248942742,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 4,2,4,90%,0.8888888888888888,0.0,2.450895419827214,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (ISJ),RELU,Bin 5,4,5,90%,0.9629629629629629,0.0,3.5168807948077165,,,,,,,,,27.0,,,,,,
