Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean),Winkler Score (mean),Winkler Score (std),Width-Error Corr (mean),Width-Error Corr (std),CCV (mean),CCV (std)
diabetes,442,10,Global CQR,RELU,Overall,,,90%,0.9218045112781954,0.03175746177735772,2.8670842170715334,0.2078508848487187,218.35085961895658,2.8282227516174316,0.6896297335624695,0.813105413105413,0.05857039897098055,0.9925925925925926,0.17948717948717946,,3.4290663242340087,0.26861320348288015,-0.08237674380652607,0.0825417538614693,0.006666341993977319,0.002200551688728967
diabetes,442,10,Global CQR,RELU,Bin 1,2,1,90%,0.8222222222222222,0.05443310539518174,2.4187507152557375,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 2,1,2,90%,0.876923076923077,0.07457969011409736,2.5986504554748535,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 3,3,3,90%,0.9461538461538461,0.04615384615384615,2.772592306137085,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 4,4,4,90%,0.9777777777777776,0.018144368465060606,3.507080316543579,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 5,0,5,90%,0.9851851851851852,0.018144368465060606,3.0249061584472656,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Overall,,,90%,0.825563909774436,0.02300309555004266,2.4019420741261674,0.13455768300955487,182.85786395882556,2.3934025287628176,1.0278332944004203,0.7521367521367522,0.03654061349966001,0.9233618233618234,0.17122507122507122,,3.6133975136166505,0.2595574506453264,0.1792513742696121,0.09937277919805801,0.0100376782655985,0.003919717689964467
diabetes,442,10,Local CQR (Silverman),RELU,Bin 1,0,1,90%,0.8,0.03777051491550212,1.7550511270114153,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 2,2,2,90%,0.8,0.050239481356483456,2.5391535341739653,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 3,1,3,90%,0.8384615384615385,0.08904489925223252,2.615117940537636,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 4,4,4,90%,0.8444444444444444,0.08574694002066834,2.52610802727136,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 5,3,5,90%,0.8461538461538461,0.03440104580768905,2.5891071852488348,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Overall,,,90%,0.825563909774436,0.02300309555004266,2.4019420741261674,0.13455768300955487,182.85786395882556,2.3934025287628176,1.0278332944004203,0.7521367521367522,0.03654061349966001,0.9233618233618234,0.17122507122507122,,3.6133975136166505,0.2595574506453264,0.1792513742696121,0.09937277919805801,0.0100376782655985,0.003919717689964467
diabetes,442,10,Local CQR (Scott),RELU,Bin 1,0,1,90%,0.8,0.03777051491550212,1.7550511270114153,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Bin 2,2,2,90%,0.8,0.050239481356483456,2.5391535341739653,,,,,,,,,27.0,,,,,,
