Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean),Winkler Score (mean),Winkler Score (std),Width-Error Corr (mean),Width-Error Corr (std),CCV (mean),CCV (std)
diabetes,442,10,Global CQR,RELU,Overall,,,90%,0.9218045112781954,0.03175746177735772,2.8670842170715334,0.2078508848487187,218.35085961895658,2.8282227516174316,0.6896297335624695,0.813105413105413,0.05857039897098055,0.9925925925925926,0.17948717948717946,,3.4290663242340087,0.26861320348288015,-0.08237674380652607,0.0825417538614693,0.006666341993977319,0.002200551688728967
diabetes,442,10,Global CQR,RELU,Bin 1,2,1,90%,0.8222222222222222,0.05443310539518174,2.4187507152557375,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 2,1,2,90%,0.876923076923077,0.07457969011409736,2.5986504554748535,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 3,3,3,90%,0.9461538461538461,0.04615384615384615,2.772592306137085,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 4,4,4,90%,0.9777777777777776,0.018144368465060606,3.507080316543579,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 5,0,5,90%,0.9851851851851852,0.018144368465060606,3.0249061584472656,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Overall,,,90%,0.9112781954887218,0.023003095550042617,2.681774675231993,0.24020123213403793,204.07041904284063,2.6870107769966127,0.7384984723881758,0.8561253561253561,0.03732084990042808,0.9774928774928775,0.12136752136752134,,3.1990943919132073,0.41820634644121,0.18279330414444256,0.08805016901425165,0.0031759969480767195,0.0013103257247020954
diabetes,442,10,Local CQR (Silverman),RELU,Bin 1,0,1,90%,0.8814814814814813,0.04319223625811335,2.05328746912656,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 2,2,2,90%,0.8814814814814815,0.02771598064276993,2.8602334514812187,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 3,1,3,90%,0.9,0.0713355268884285,2.8332710208801117,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 4,3,4,90%,0.9307692307692307,0.044853476114194636,2.7758371635125236,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 5,4,5,90%,0.962962962962963,0.023424278964210215,2.8953390427865346,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Overall,,,90%,0.9082706766917292,0.02946754577784274,2.6708888062093936,0.24370453245045234,203.23904524749182,2.6826493382453918,0.7517131054421454,0.8566951566951566,0.038346350674395985,0.9774928774928775,0.12079772079772078,,3.2001730663120744,0.4054994711482237,0.1855135211051327,0.08875415131338145,0.003130591472471813,0.0011467493006335756
diabetes,442,10,Local CQR (Scott),RELU,Bin 1,2,1,90%,0.874074074074074,0.029629629629629624,2.8568196206181136,,,,,,,,,27.0,,,,,,
