Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean),Winkler Score (mean),Winkler Score (std),Width-Error Corr (mean),Width-Error Corr (std),CCV (mean),CCV (std)
diabetes,442,10,Global CQR,RELU,Overall,,,90%,0.9218045112781954,0.03175746177735772,2.8670842170715334,0.2078508848487187,218.35085961895658,2.8282227516174316,0.6896297335624695,0.813105413105413,0.05857039897098055,0.9925925925925926,0.17948717948717946,,3.4290663242340087,0.26861320348288015,-0.08237674380652607,0.0825417538614693,0.006666341993977319,0.002200551688728967
diabetes,442,10,Global CQR,RELU,Bin 1,2,1,90%,0.8222222222222222,0.05443310539518174,2.4187507152557375,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 2,1,2,90%,0.876923076923077,0.07457969011409736,2.5986504554748535,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 3,3,3,90%,0.9461538461538461,0.04615384615384615,2.772592306137085,,,,,,,,,26.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 4,4,4,90%,0.9777777777777776,0.018144368465060606,3.507080316543579,,,,,,,,,27.0,,,,,,
diabetes,442,10,Global CQR,RELU,Bin 5,0,5,90%,0.9851851851851852,0.018144368465060606,3.0249061584472656,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Overall,,,90%,0.9218045112781954,0.03175746177735772,2.8664365442133493,0.20852678970087787,218.30178052039204,2.8282227476736654,0.6904161372728754,0.813105413105413,0.05857039897098055,0.9925925925925926,0.17948717948717946,,3.428418546464372,0.26875585761006165,-0.08359642858429414,0.08405500832258547,0.006666341993977319,0.002200551688728967
diabetes,442,10,Local CQR (Silverman),RELU,Bin 1,2,1,90%,0.8222222222222222,0.05443310539518174,2.4231175498473077,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 2,1,2,90%,0.876923076923077,0.07457969011409736,2.5986504526773304,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 3,3,3,90%,0.9461538461538461,0.04615384615384615,2.7647437863625006,,,,,,,,,26.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 4,4,4,90%,0.9777777777777776,0.018144368465060606,3.5070803642571717,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Silverman),RELU,Bin 5,0,5,90%,0.9851851851851852,0.018144368465060606,3.0249061660932917,,,,,,,,,27.0,,,,,,
diabetes,442,10,Local CQR (Scott),RELU,Overall,,,90%,0.9203007518796991,0.028768611232645087,2.8609565244182167,0.20410493215370262,217.88156335513918,2.8282227476736654,0.7029032265452194,0.8056980056980055,0.044480955125410206,0.9925925925925926,0.18689458689458688,,3.4524517650943296,0.30465664238767093,-0.08605198798710145,0.08701794316150557,0.006644394120177593,0.0021863009214071697
diabetes,442,10,Local CQR (Scott),RELU,Bin 1,2,1,90%,0.8148148148148147,0.040572041296678955,2.396123378263878,,,,,,,,,27.0,,,,,,
