Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
rf1,4017,64,Global CQR,REQU,Overall,,,90%,0.9048922056384743,0.00891559624821577,0.33350796699523927,0.025860477052097843,11.22073048541958,0.2977842718362808,0.17742515355348587,0.8417801172799286,0.03463886038833136,0.9618514454236824,0.12007132814375361,
rf1,4017,64,Global CQR,REQU,Bin 1,4,1,90%,0.8892561983471075,0.05860780380658313,0.413733446598053,,,,,,,,,242.0
rf1,4017,64,Global CQR,REQU,Bin 2,0,2,90%,0.8954356846473029,0.0504042643620256,0.28120550364255903,,,,,,,,,241.0
rf1,4017,64,Global CQR,REQU,Bin 3,1,3,90%,0.9103734439834026,0.02173576905179882,0.3903852880001068,,,,,,,,,241.0
rf1,4017,64,Global CQR,REQU,Bin 4,2,4,90%,0.912448132780083,0.02191327124732099,0.3159761160612106,,,,,,,,,241.0
rf1,4017,64,Global CQR,REQU,Bin 5,3,5,90%,0.9170124481327802,0.05037693016025291,0.26590656489133835,,,,,,,,,241.0
rf1,4017,64,Localized CQR,REQU,Overall,,,90%,0.9098673300165837,0.011620758878544805,0.32457245197448303,0.022554553530050675,10.920501365165956,0.2920398036018014,0.16748201515167488,0.8668581324371593,0.028422375933916135,0.9485477178423236,0.08168958540516445,
rf1,4017,64,Localized CQR,REQU,Bin 1,0,1,90%,0.9024896265560167,0.036375158413183596,0.2752786405635727,,,,,,,,,241.0
rf1,4017,64,Localized CQR,REQU,Bin 2,4,2,90%,0.9045454545454545,0.016780116119212374,0.38878468299854146,,,,,,,,,242.0
rf1,4017,64,Localized CQR,REQU,Bin 3,3,3,90%,0.9132780082987552,0.0472901635312447,0.253586968612235,,,,,,,,,241.0
rf1,4017,64,Localized CQR,REQU,Bin 4,1,4,90%,0.9141078838174275,0.023983976791067924,0.39033908426058306,,,,,,,,,241.0
rf1,4017,64,Localized CQR,REQU,Bin 5,2,5,90%,0.9149377593360997,0.02484434419904184,0.3146064426448521,,,,,,,,,241.0
